1,0,117,117,0.4,34,0.14706366031597823,3.74307819503,1610893626.35
1,1,135,135,0.4,-334,0.15797576898777926,3.72939693596,1610893631.66
1,2,150,150,0.004096,-349,0.1680693760017554,3.72738132737,1610893636.08
2,0,267,150,0.4,-349,0.1410420065621535,3.76014619029,1610893666.94
2,1,285,150,0.4,-349,0.17368224004904428,3.77527414149,1610893671.97
2,2,300,150,0.004096,-349,0.16511671453714372,3.76337683001,1610893676.62
3,1,398,113,0.4,-312,0.17206052084148457,3.78160641557,1610893702.52
3,0,417,150,0.4,-349,0.1408708941191435,3.77232602752,1610893707.41
3,2,450,150,0.004096,-349,0.17538659860690434,3.76932465655,1610893716.72
4,1,473,75,0.4,-274,0.12431158870458603,3.76414395283,1610893723.12
4,0,567,150,0.4,-349,0.16151393165191014,3.76414888487,1610893747.93
4,2,600,150,0.004096,-349,0.16093508005142212,3.77849913794,1610893757.05
5,1,623,150,0.4,-349,0.16662633687257766,3.78015332503,1610893763.37
6,1,671,48,0.4,-247,0.08684483900045355,3.75572456882,1610893776.89
7,1,674,3,0.4,148,0.1308122674624125,3.66817197938,1610893778.38
5,0,717,150,0.4,-349,0.20668426548441252,3.76442178831,1610893788.5
5,2,750,150,0.004096,-349,0.17204449454943338,3.76845099882,1610893797.46
8,1,757,83,0.4,68,0.11319416321544762,3.77611754411,1610893801.03
6,0,867,150,0.4,-349,0.1535644241174062,3.77156666772,1610893828.95
6,2,900,150,0.004096,-349,0.18618057082096737,3.74903472034,1610893838.03
9,1,907,150,0.4,-349,0.18024737040201824,3.76715507596,1610893841.65
7,0,1017,150,0.4,-349,0.16769758040706317,3.75691723375,1610893869.49
7,2,1050,150,0.004096,-349,0.1608040109773477,3.77656958187,1610893878.41
10,1,1057,150,0.4,-349,0.1709374371667703,3.75772023841,1610893882.26
8,0,1167,150,0.4,-349,0.1276076696316401,3.76591333228,1610893909.95
8,2,1200,150,0.004096,-349,0.16560619235038757,3.75612145661,1610893918.91
11,1,1207,150,0.4,-349,0.12964915665487448,3.77868141505,1610893922.6
9,0,1317,150,0.4,-349,0.14116734087467195,3.76557820994,1610893950.33
9,2,1350,150,0.004096,-349,0.16329785704612731,3.76860379648,1610893959.39
12,1,1354,147,0.4,-346,0.1201366312599101,3.77530697442,1610893962.24
13,1,1411,57,0.4,-256,0.15230544787227063,3.77116713815,1610893978.01
10,0,1467,150,0.4,-349,0.17283915996551513,3.77901832905,1610893990.65
10,2,1500,150,0.004096,-349,0.16796152581771215,3.77703221168,1610893999.72
14,1,1561,150,0.4,-349,0.14099327877163886,3.76902035661,1610894018.45
11,0,1587,120,0.4,-319,0.16380657106637955,3.77261708454,1610894023.06
11,2,1650,150,0.004096,-349,0.15068142890930175,3.76335841571,1610894039.77
15,1,1711,150,0.4,-349,0.18858819007873534,3.78191712566,1610894058.45
12,0,1737,150,0.4,-349,0.14349986245234808,3.7795548054,1610894063.36
12,2,1800,150,0.004096,-349,0.15100720177094143,3.77107694007,1610894080.29
13,0,1863,126,0.4,-325,0.1482938083391341,3.76593890994,1610894097.07
16,1,1861,150,0.4,-349,0.15117868368824322,3.77480727664,1610894098.9
13,2,1950,150,0.004096,-349,0.15407005295157433,3.78505864018,1610894120.54
14,0,2013,150,0.4,-349,0.11965183739860853,3.77425070521,1610894137.54
17,1,2011,150,0.4,-349,0.17161210045218467,3.76936227971,1610894138.94
15,0,2057,44,0.4,107,0.138648005371744,3.78620636965,1610894149.78
14,2,2100,150,0.004096,-349,0.16131842056910198,3.76297114916,1610894161.15
18,1,2161,150,0.4,-349,0.20057897210121156,3.77652707685,1610894179.3
19,1,2163,2,0.4,149,0.1394076570868492,3.56001746778,1610894180.03
